Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,SMA_20,SMA_50,Volume_SMA_20,Daily_Return,Cumulative_Return
211.10273143743845,216.4974998735104,210.933524598722,215.7410430908203,60402900,0.0,0.0,AAPL,,,,,
215.1438424446849,219.35416325375095,214.09874221485333,219.2446746826172,58046200,0.0,0.0,AAPL,,,,0.01623998633547874,1.0162399863354787
218.97591935149836,220.51870727539062,218.01043340115498,220.51870727539062,37369800,0.0,0.0,AAPL,,,,0.0058110081561513205,1.0221453651846812
220.61823649717394,225.39589603978789,220.61823649717394,225.28640747070312,60412400,0.0,0.0,AAPL,,,,0.021620388828773818,1.044244545419503
226.0329238568709,226.78939588229815,222.21080217009418,226.75953674316406,59085900,0.0,0.0,AAPL,,,,0.0065389176781671665,1.0510727745378763
226.8690002119573,228.33215871662,225.3162642938077,227.61550903320312,48076100,0.0,0.0,AAPL,,,,0.0037748017231511444,1.0550403658583591
228.23262994836378,231.9950331368443,228.1828596567971,231.89549255371094,62627700,0.0,0.0,AAPL,,,,0.018803567202810845,1.0748788882794549
230.31290687462652,231.30825199534104,224.7190721562944,226.5106964111328,64710600,0.0,0.0,AAPL,,,,-0.023220788309763818,1.0499193531560833
227.85437336829477,231.55705794741596,227.61548510301753,229.46682739257812,53046500,0.0,0.0,AAPL,,,,0.013050734593476943,1.0636215719786783
235.37920328245679,236.12571210202407,232.00498402552307,233.3088836669922,62631300,0.0,0.0,AAPL,,,,0.016743406086497048,1.0814302198806758
233.90609879782943,235.17019132901206,231.2485291999769,233.72694396972656,43234300,0.0,0.0,AAPL,,,,0.001791874772034241,1.0833680074093954
228.3819445580284,230.38259805534622,225.58502708071103,227.81460571289062,57345900,0.0,0.0,AAPL,,,,-0.02529592077155529,1.0559632161275296
229.20805491946456,229.3673137711516,221.2353466054131,223.13644409179688,66034600,0.0,0.0,AAPL,,,,-0.02053495036656927,1.034279063895428
223.77350488950745,225.7442840425332,222.24066484667273,223.265869140625,49151500,0.0,0.0,AAPL,,,,0.0005800264916602238,1.034878973152257
225.95328613844396,226.7197061195605,222.0515351611177,222.91749572753906,48201800,0.0,0.0,AAPL,,,,-0.001560352302960033,1.033264197363214
223.32558043665784,225.88362469345716,221.6434447483752,223.9626007080078,39960300,0.0,0.0,AAPL,,,,0.0046883039711971275,1.0381084540030077
222.9572958470105,223.75357494115906,216.1192800710717,217.522705078125,61777600,0.0,0.0,AAPL,,,,-0.028754334918082436,1.0082583358353123
217.91088420998827,219.8219600686179,213.62094948036474,216.47760009765625,51391200,0.0,0.0,AAPL,,,,-0.004804578814397331,1.0034140791955184
217.6819649471348,218.46829606182757,215.0044842643322,216.94541931152344,41601300,0.0,0.0,AAPL,,,,0.0021610513681606935,1.0055825085641956
215.95008057489312,218.27918447457574,214.74570631572197,217.22412109375,36311800,0.0,0.0,AAPL,223.96707916259766,,53070985.0,0.0012846631337550818,1.006874343340897
218.16969337819762,219.30438617677734,215.11397665237357,217.78150939941406,41643800,0.0,0.0,AAPL,224.06910247802733,,52133030.0,0.002565959539196472,1.009457942166965
220.40921389598267,222.77814001369308,219.60298682237814,221.04623413085938,50036300,0.0,0.0,AAPL,224.15918045043946,,51732535.0,0.014990826082749598,1.0245905506158401
223.32558576007955,223.43507433375405,216.00980804268707,217.34356689453125,62501000,0.0,0.0,AAPL,224.00042343139648,,52989095.0,-0.016750646084909726,1.0074279969205315
218.12987665236415,224.54986481713928,216.69659243938975,218.83657836914062,105568600,0.0,0.0,AAPL,223.67793197631835,,55246905.0,0.006869361241935712,1.0143483837566183
198.16324716744046,212.506173331003,195.0876345333798,208.29586791992188,119548600,0.0,0.0,AAPL,222.75474853515624,,58270040.0,-0.048167041030217295,0.9654902235372786
204.34434168651262,209.01251239840335,200.13403637997632,206.26535034179688,69660500,0.0,0.0,AAPL,221.68724060058594,,59349260.0,-0.00974823743937936,0.9560783955928378
205.9369016050796,212.64553325809877,205.4292810556757,208.84332275390625,63516400,0.0,0.0,AAPL,220.5346321105957,,59393695.0,0.012498329980471734,0.968027778868157
212.1179963940502,213.2029189157903,207.85792055043288,212.3170623779297,47161100,0.0,0.0,AAPL,219.82495040893554,,58516220.0,0.01663323288586427,0.984129210354057
211.11270086651854,215.77090862412464,210.98330114399806,215.23342895507812,42201600,0.0,0.0,AAPL,219.11328048706054,,57973975.0,0.013735903014507667,0.9976471137412243
215.31315848368175,218.7410960979999,214.8448035806853,216.76803588867188,38028100,0.25,0.0,AAPL,218.28623809814454,,56743815.0,0.007129965549701023,1.004760303292958
218.2428407360094,221.11275746457662,218.2428407360094,220.49493408203125,44155300,0.0,0.0,AAPL,217.62463760375977,,56789865.0,0.017193024691488423,1.0220351719965013
219.7973936824548,222.24876826808693,218.93043078284688,220.943359375,41960600,0.0,0.0,AAPL,217.28107528686525,,56020600.0,0.0020337215221548632,1.0241137069221897
223.81327127421198,224.56064415441705,221.97970491871703,223.93284606933594,46414000,0.0,0.0,AAPL,217.32089538574218,,55039570.0,0.013530556893823542,1.0379705356994449
223.1356500786779,226.03546056539557,222.86659157853387,225.25819396972656,44340200,0.0,0.0,AAPL,217.42051162719727,,54799005.0,0.0059185060327426875,1.0441137705767911
224.92933693390268,225.19839542072495,222.2587166767679,225.09873962402344,40687800,0.0,0.0,AAPL,217.5295738220215,,54423305.0,-0.0007078736755057324,1.0433746699243667
224.9791698204466,226.3742597731608,224.66028342820331,225.71656799316406,30299000,0.0,0.0,AAPL,217.6172721862793,,53940240.0,0.002744699371362902,1.046238419725004
