Date,adj close_msft,close_msft,high_msft,low_msft,open_msft,volume_msft
2020-07-06,201.86868286132812,210.6999969482422,211.1300048828125,208.08999633789062,208.8300018310547,31897600
2020-07-07,199.52133178710938,208.25,214.6699981689453,207.99000549316406,210.4499969482422,33600700
2020-07-08,203.9093475341797,212.8300018310547,213.25999450683594,208.69000244140625,210.07000732421875,33600000
2020-07-09,205.3369140625,214.32000732421875,216.3800048828125,211.47000122070312,216.3300018310547,33121700
2020-07-10,204.71420288085938,213.6699981689453,214.0800018310547,211.0800018310547,213.6199951171875,26177600
2020-07-13,198.3908233642578,207.07000732421875,215.8000030517578,206.5,214.47999572753906,38135600
2020-07-14,199.6171417236328,208.35000610351562,208.85000610351562,202.02999877929688,206.1300048828125,37591800
2020-07-15,199.32012939453125,208.0399932861328,211.3300018310547,205.02999877929688,209.55999755859375,32179400
2020-07-16,195.37278747558594,203.9199981689453,205.6999969482422,202.30999755859375,205.39999389648438,29940700
2020-07-17,194.37643432617188,202.8800048828125,205.0399932861328,201.38999938964844,204.47000122070312,31635300
2020-07-20,202.7309112548828,211.60000610351562,212.3000030517578,203.00999450683594,205.0,36884800
2020-07-21,200.00039672851562,208.75,213.94000244140625,208.02999877929688,213.66000366210938,37990400
2020-07-22,202.87461853027344,211.75,212.3000030517578,208.38999938964844,209.1999969482422,49605700
2020-07-23,194.05064392089844,202.5399932861328,210.9199981689453,202.14999389648438,207.19000244140625,67457000
2020-07-24,192.86264038085938,201.3000030517578,202.86000061035156,197.50999450683594,200.4199981689453,39827000
2020-07-27,195.3057403564453,203.85000610351562,203.97000122070312,200.86000061035156,201.47000122070312,30160900
2020-07-28,193.55247497558594,202.02000427246094,204.6999969482422,201.74000549316406,203.61000061035156,23251400
2020-07-29,195.50694274902344,204.05999755859375,204.64999389648438,202.00999450683594,202.5,19632600
2020-07-30,195.3536834716797,203.89999389648438,204.4600067138672,199.57000732421875,201.0,25079600
2020-07-31,196.41714477539062,205.00999450683594,205.10000610351562,199.00999450683594,204.39999389648438,51044000
2020-08-03,207.46385192871094,216.5399932861328,217.63999938964844,210.44000244140625,211.52000427246094,78983000
2020-08-04,204.35008239746094,213.2899932861328,214.77000427246094,210.30999755859375,214.1699981689453,49280100
2020-08-05,204.01473999023438,212.94000244140625,215.0,211.57000732421875,214.89999389648438,28806400
2020-08-06,207.28182983398438,216.35000610351562,216.3699951171875,211.5500030517578,212.33999633789062,32656800
2020-08-07,203.5740509033203,212.47999572753906,215.6999969482422,210.92999267578125,214.85000610351562,27820400
2020-08-10,199.52133178710938,208.25,211.8800048828125,206.35000610351562,211.6699981689453,36716500
2020-08-11,194.85545349121094,203.3800048828125,207.64999389648438,203.13999938964844,207.16000366210938,36446500
2020-08-12,200.42193603515625,209.19000244140625,210.27999877929688,204.75,205.2899932861328,28013100
2020-08-13,199.95245361328125,208.6999969482422,211.35000610351562,208.14999389648438,209.44000244140625,22588900
2020-08-14,200.1440887451172,208.89999389648438,209.58999633789062,207.50999450683594,208.75999450683594,17958900
2020-08-17,201.4662322998047,210.27999877929688,211.19000244140625,208.9199981689453,209.60000610351562,20184800
2020-08-18,202.6255645751953,211.49000549316406,212.36000061035156,209.2100067138672,210.52999877929688,21336200
2020-08-19,201.396240234375,209.6999969482422,212.10000610351562,209.25,211.49000549316406,27627600
2020-08-20,206.08299255371094,214.5800018310547,215.0,208.91000366210938,209.5399932861328,26981500
2020-08-21,204.5847625732422,213.02000427246094,216.25,212.85000610351562,213.86000061035156,36249300
2020-08-24,205.22817993164062,213.69000244140625,215.52000427246094,212.42999267578125,214.7899932861328,25460100
2020-08-25,207.89813232421875,216.47000122070312,216.61000061035156,213.10000610351562,213.10000610351562,23043700
2020-08-26,212.392822265625,221.14999389648438,222.08999633789062,217.36000061035156,217.8800048828125,39600800
2020-08-27,217.60781860351562,226.5800018310547,231.14999389648438,219.39999389648438,222.88999938964844,57602200
2020-08-28,219.84555053710938,228.91000366210938,230.63999938964844,226.5800018310547,228.17999267578125,26292900
2020-08-31,216.59939575195312,225.52999877929688,228.6999969482422,224.30999755859375,227.0,28774200
2020-09-01,218.2705078125,227.27000427246094,227.4499969482422,224.42999267578125,225.50999450683594,25725500
2020-09-02,222.47705078125,231.64999389648438,232.86000061035156,227.35000610351562,227.97000122070312,34080800
2020-09-03,208.69529724121094,217.3000030517578,229.30999755859375,214.9600067138672,229.27000427246094,58400300
2020-09-04,205.7660369873047,214.25,218.36000061035156,205.19000244140625,215.10000610351562,59664100
2020-09-08,194.635009765625,202.66000366210938,210.02999877929688,202.1999969482422,206.5,52924300
2020-09-09,202.92323303222656,211.2899932861328,214.83999633789062,206.6999969482422,207.60000610351562,45679000
2020-09-10,197.23768615722656,205.3699951171875,214.74000549316406,204.11000061035156,213.39999389648438,35461500
2020-09-11,195.95074462890625,204.02999877929688,208.6300048828125,201.24000549316406,207.1999969482422,33620100
2020-09-14,197.27609252929688,205.41000366210938,209.1999969482422,204.02999877929688,204.24000549316406,30375800
2020-09-15,200.51268005371094,208.77999877929688,209.77999877929688,206.92999267578125,208.4199981689453,21823900
2020-09-16,196.9303741455078,205.0500030517578,210.64999389648438,204.63999938964844,210.6199951171875,26328100
2020-09-17,194.8750762939453,202.91000366210938,204.3300018310547,199.9600067138672,200.0500030517578,34011300
2020-09-18,192.45484924316406,200.38999938964844,203.64999389648438,196.25,202.8000030517578,55225300
2020-09-21,194.51974487304688,202.5399932861328,202.7100067138672,196.3800048828125,197.19000244140625,39839700
2020-09-22,199.20648193359375,207.4199981689453,208.10000610351562,202.0800018310547,205.05999755859375,33517100
2020-09-23,192.64698791503906,200.58999633789062,208.10000610351562,200.02999877929688,207.89999389648438,30803800
2020-09-24,195.1439971923828,203.19000244140625,205.57000732421875,199.1999969482422,199.85000610351562,31202500
2020-09-25,199.59068298339844,207.82000732421875,209.0399932861328,202.5399932861328,203.5500030517578,29437300
2020-09-28,201.14657592773438,209.44000244140625,212.57000732421875,208.05999755859375,210.8800048828125,32004900
2020-09-29,199.0528564453125,207.25999450683594,210.07000732421875,206.80999755859375,209.35000610351562,24221900
2020-09-30,202.00125122070312,210.3300018310547,211.97999572753906,206.5399932861328,207.72999572753906,33829100
2020-10-01,204.0469512939453,212.4600067138672,213.99000549316406,211.32000732421875,213.49000549316406,27158400
2020-10-02,198.02525329589844,206.19000244140625,210.99000549316406,205.5399932861328,208.0,33154800
2020-10-05,202.0492706298828,210.3800048828125,210.41000366210938,206.97999572753906,207.22000122070312,21331600
2020-10-06,197.75633239746094,205.91000366210938,210.17999267578125,204.82000732421875,208.82000732421875,28554300
2020-10-07,201.52105712890625,209.8300018310547,210.11000061035156,206.72000122070312,207.05999755859375,25681100
2020-10-08,202.2413787841797,210.5800018310547,211.19000244140625,208.32000732421875,210.50999450683594,19925800
2020-10-09,207.2642822265625,215.80999755859375,215.86000061035156,211.22999572753906,211.22999572753906,26458000
2020-10-12,212.63291931152344,221.39999389648438,223.86000061035156,216.80999755859375,218.7899932861328,40461400
2020-10-13,214.03509521484375,222.86000061035156,225.2100067138672,220.42999267578125,222.72000122070312,28950800
2020-10-14,212.11427307128906,220.86000061035156,224.22000122070312,219.1300048828125,223.0,23421700
2020-10-15,210.9618377685547,219.66000366210938,220.36000061035156,216.00999450683594,217.10000610351562,22733100
2020-10-16,210.9618377685547,219.66000366210938,222.2899932861328,219.32000732421875,220.14999389648438,26057900
2020-10-19,205.7372283935547,214.22000122070312,222.3000030517578,213.72000122070312,220.4199981689453,27625800
2020-10-20,206.1501922607422,214.64999389648438,217.3699951171875,213.08999633789062,215.8000030517578,22753500
2020-10-21,206.2942657470703,214.8000030517578,216.9199981689453,213.1199951171875,213.1199951171875,22724900
2020-10-22,206.3806915283203,214.88999938964844,216.05999755859375,211.6999969482422,213.92999267578125,22351500
2020-10-23,207.66763305664062,216.22999572753906,216.27999877929688,213.16000366210938,215.02999877929688,18879600
2020-10-26,201.7611846923828,210.0800018310547,216.33999633789062,208.10000610351562,213.85000610351562,37111600
2020-10-27,204.80564880371094,213.25,214.6699981689453,210.3300018310547,211.58999633789062,36700300
2020-10-28,194.65420532226562,202.67999267578125,208.83999633789062,202.10000610351562,207.6699981689453,51195600
2020-10-29,196.61343383789062,204.72000122070312,207.36000061035156,203.3699951171875,204.07000732421875,31432600
2020-10-30,194.45254516601562,202.47000122070312,204.2899932861328,199.6199951171875,203.5,36953700
2020-11-02,194.3180694580078,202.3300018310547,205.27999877929688,200.1199951171875,204.2899932861328,30842200
